English,Danish,Dutch,Finnish,French,German,Indonesian,Italian,Japanese,Latin,Norwegian,Portuguese,Spanish,Swahili,Swedish
a,på,binnen,joku,quelqu'un,ein,-,un,ato,in,en,em,una,ndani ya,en
abdomen,bug,onderlijf,vatsa,ventre,unterleib,-,basso ventre,shitabara,venter,mave,ventre,abdomen,-,underliv
aberration,fejl,aberratie,virhe,erreur,verirrung {f},kesalahan,-,shuusa,error,villfarelse,erro,equivocación,kosa,-
able,dygtig,capabel,pätevä,valide,kompetent,sanggup,adatto,yuui,-,dyktig,capaz,apto,enye akili,skicklig
about,om,circulerend,noin,concernant,ungefähr,lebih kurang,intorno,sokosoko,circa,om,cerca,proximamente,-,vid
above,opad,benoorden,yläpuolella,dessus,oberhalb,-,al di sopra,ue,super,ovenpå,sobre,arriba,juu,ovanför
abroad,udenfor,in het buitenland,ulkomailla,dehors,im ausland,luar negeri,all'estero,zaigai,-,utenfor,no exterior,en el extranjero,ugenini,utlandet
abrupt,stejl,kortaf,äkillinen,imprévu,plötzlich,-,rapido,niwaka,abscisus,bratt,abrupto,brusco,-,abrupt
absent,fraværende,verstrooid,poissaoleva,absent,abwesend,tidak hadir,mancante,-,absens,fraværende,ausente,ausente,hako,borta
abuse,fornærmelse,gescheld,kiduttaa,défaut,schmähung,-,abuso,goyou,absumptio,misbruke,abuso,abuso,-,ovett
accent,lægge vægt på,accentueren,mahtipontisuus,emphase,betonen,-,accento,gochou,accentus,aksent,acento,reforzar,-,brytning
accept,modtage,accepteren,ottaa vastaan,agréer,entgegennehmen,menerima,accogliere,akuseputo,accipere,godta,aceite,aceptar,pokea,acceptera
acceptance,-,aanvaarding,hyväksyminen,supposition,annahme {f},penerimaan,accoglienza,shouin,acceptatio,godtagelse,aceitação,aceptación,-,accept
accident,ulykke,ongeluk,tapaturma,accident,mißgeschick,kecelakaan,incidente,henji,-,ulykke,acidente,desgracia,tukio baya,slump
accompany,ledsage,vergezellen,saattaa,accompagnez,begleite,antar ... mengantar,accompagnare,douhan,-,ledsage,acompanhe,acompa ar,kwenda na,ledsaga
accomplish,-,behalen,saavuttaa,confectionner,vollbringen,capai,compiere,mattou,pervenire,fullføre,realize,consumar,-,fullborda
accordion,trækharmonika,trekharmonika,harmonikka,accordéon,akkordeon {n},harmonika,fisarmonica,ako-dion,-,trekkspill,acordeão,acordeón,-,dragspel
account,konto,rekening,tili,supputation,berechnung,perhitungan,calcolo,kaikei,-,konto,cliente,calculo,hesabu,räkenskap
acid,sur,zuur,happo,aigre,säure,-,acido,sui,acidus,syre,ácido,agriarse,-,syrlig
across,tværs,over,poikki,en écharpe,durch,lintang,diàmetro,-,-,tvers over,através de,travieso,katikati,över
act,handling,doen,vaikuttaa,agissez,handeln,-,atto,koui,actum,spille,fazer,acto,-,akt
action,handling,actie,teko,action,aktion {f},-,effetto,shigusa,factum,-,ação,pleito,tendo,aktion
actor,skuespiller,speler,näyttelijä,acteur,schauspieler,peran,attore,shu,-,skuespiller,actor,actor,mcheza,skådespelare
ad,annonce,bericht,ilmoitus,annonce,zeitungsanzeige,pemberitahuan,denuncia,ado,-,annonse,anúncio,indicacion,tangazo,-
add,tilføje,bijtellen,lisätä,rajouter,zufügen,tambah,aggiungere,kasan,accensere,legge til,adicione,suplementar,-,bifoga
address,adresse,adresseren,osoite,laïus,anschrift {m},alamat,rivolgere la parola,uwagaki,-,adresse,endereço,dirección,anwani,rikta
advertisement,reklame,bericht,mainos,réclame,ankündigung {f},adpertensi,inserzione,ado,-,annonse,anúncio,indicacion,tangazo,annons
advice,råd,raad,neuvoa,conseil,hinweisgabe,nasehat,consigliere,jogon,-,råd,conselho,consejo,shauri,råd
advise,råde,adviseren,neuvoa,avisent,raten,mensasihatkan,consigliare,kan,monere,-,recomende,adivinar,-,råda
aeroplane,flyvemaskine,vliegmachine,lentokone,avion,flugzeug,pesawat terbang,aeroplano,hikouki,-,fly,avião,avión,-,flygplan
affair,anliggende,zaak,asia,affaire,affäre {f},perkara,affare,kyoku,causa,anliggende,caso,asunto,jambo,-
after,efter,achter,jälkeen,après,nachdem,sesudah,in,sugi,post,etter,depois,después,baada ya,efter
afternoon,eftermiddag,namiddag,iltapäivä,après-midi,nachmittag,petang,pomeriggio,gogo,-,ettermiddag,tarde,-,alasiri,eftermiddag
afterwards,derefter,naderhand,sitten,puis,rückwärts,-,in,atode,postea,bak,mais tarde,posterior,-,efter
again,igen,opnieuw,jälleen,de nouveau,nochmals,pula,da capo,mou,-,igjen,outra vez,otra vez,tena,ånyo
against,imod,met,vastaan,en retour,dagegen,lawan,in confronto,agensuto,contra,-,contra,en contra,juu ya,emot
age,alder,leeftijd,ajanjakso,viellir,alter {n},umur,vecchiezza,toshigoro,ætas,alder,idade,edad,umri,tidsålder
ahead,fremad,daarvoor,-,autrefois,oben,sebelumnya,davanti,maeni,ante,-,antes,adelante,mbele,förut
aid,assistent,assistent,auttaa,aider,helfen,bantuan,aiutare,kyuujo,auxilium,hjelpe,ajudar,ayudar,msaada,hjälp
air,luft,lucht,ilma,souffle,luft,angin,aria,tei,ær,luft,ar,aire,hewa,luft
ale,øl,bier,olut,bière,bier,-,birra,-,cervisia,øl,cerveja inglêsa,ale,pombe,öl
